image,score
0.45104623,s28_1
0.3614353,s28_2
0.42553094,s28_3
0.42387074,s28_8
0.38248968,s28_9
0.37981564,s28_10
0.22593823,s10_7
0.20911866,s10_6
0.19651875,s10_4
0.2817057,s10_5
0.24167806,s10_1
0.30996108,s10_2
0.25716507,s10_3
0.2982335,s10_8
0.21664199,s10_9
0.28653666,s10_10
0.37842274,s11_7
0.32880387,s11_6
0.27231774,s11_4
0.36776584,s11_5
0.34601435,s11_1
0.29458448,s11_2
0.32448775,s11_3
0.39299393,s11_8
0.27076775,s11_9
0.37425742,s11_10
0.3548902,s16_7
0.36967272,s16_6
0.37786394,s16_4
0.329737,s16_5
0.36251146,s16_1
0.43289065,s16_2
0.4295225,s16_3
0.33590665,s16_8
0.27892026,s16_9
0.42488378,s16_10
0.26833284,s29_7
0.30913565,s29_6
0.27951372,s29_4
0.27509177,s29_5
0.26035392,s29_1
0.26808763,s29_2
0.24904612,s29_3
0.2607724,s29_8
0.26822487,s29_9
0.27637267,s29_10
0.34677738,s20_7
0.42585978,s20_6
0.3993823,s20_4
0.32841727,s20_5
0.27886248,s20_1
0.32637537,s20_2
0.36403233,s20_3
0.33496028,s20_8
0.350719,s20_9
0.33842188,s20_10
0.23716864,s27_7
0.15428734,s27_6
0.28474808,s27_4
0.20618334,s27_5
0.22634488,s27_1
0.31730342,s27_2
0.29914236,s27_3
0.29118505,s27_8
0.23712498,s27_9
0.27385268,s27_10
0.35667065,s18_7
0.3045226,s18_6
0.21976033,s18_4
0.3263828,s18_5
0.3231654,s18_1
0.29599547,s18_2
0.27091917,s18_3
0.30163723,s18_8
0.4032209,s18_9
0.3527179,s18_10
0.2514155,s8_7
0.36498028,s8_6
0.29904905,s8_4
0.32099798,s8_5
0.3031041,s8_1
0.35006994,s8_2
0.34385425,s8_3
0.34670115,s8_8
0.35796204,s8_9
0.3233508,s8_10
0.30149144,s1_7
0.21938416,s1_6
0.35003734,s1_4
0.24795914,s1_5
0.22836432,s1_1
0.07920945,s1_2
0.1152322,s1_3
0.257612,s1_8
0.25350496,s1_9
0.11670631,s1_10
0.38483742,s6_7
0.42105457,s6_6
0.3823728,s6_4
0.3894417,s6_5
0.38052347,s6_1
0.36621636,s6_2
0.3073732,s6_3
0.46264338,s6_8
0.39178017,s6_9
0.4009946,s6_10
0.34514475,s39_7
0.32912955,s39_6
0.47723743,s39_4
0.44482917,s39_5
0.47819918,s39_1
0.41151327,s39_2
0.46663296,s39_3
0.34668434,s39_8
0.4290496,s39_9
0.41799992,s39_10
0.25079715,s30_7
0.23731273,s30_6
0.21905547,s30_4
0.23163462,s30_5
0.22038445,s30_1
0.23255256,s30_2
0.18776333,s30_3
0.21512854,s30_8
0.28229016,s30_9
0.17821243,s30_10
0.14363396,s37_7
0.2394,s37_4
0.24414974,s37_5
0.21483335,s37_1
0.3503243,s37_2
0.21027386,s37_3
0.334779,s37_8
0.21173894,s37_9
0.20399392,s37_10
0.2630541,s7_7
0.25628608,s7_6
0.3910365,s7_4
0.35300887,s7_5
0.2800256,s7_1
0.20027244,s7_2
0.28137153,s7_3
0.30523822,s7_8
0.3400362,s7_9
0.28081504,s7_10
0.27349597,s9_7
0.30424744,s9_6
0.28716096,s9_4
0.28219497,s9_5
0.30101117,s9_1
0.25239182,s9_2
0.33832985,s9_3
0.29679617,s9_8
0.28484374,s9_9
0.34301078,s9_10
0.3590139,s36_7
0.3355454,s36_6
0.40486497,s36_4
0.28052166,s36_5
0.36806178,s36_1
0.35267976,s36_2
0.36773017,s36_3
0.35018614,s36_8
0.22233865,s36_9
0.21605986,s36_10
0.29290986,s31_7
0.26319566,s31_6
0.13096797,s31_4
0.07680488,s31_5
0.22272754,s31_1
0.1290938,s31_2
0.23630658,s31_3
0.2726512,s31_8
0.26271307,s31_9
0.23381501,s31_10
0.47027707,s38_7
0.3652524,s38_6
0.40254515,s38_4
0.4283072,s38_5
0.3728881,s38_1
0.38439876,s38_2
0.39872205,s38_3
0.39118803,s38_8
0.35902846,s38_9
0.40232912,s38_10
0.55639225,s22_7
0.3354661,s22_6
0.5046948,s22_4
0.5749595,s22_5
0.50425667,s22_1
0.56668985,s22_2
0.5510749,s22_3
0.6015267,s22_8
0.5596792,s22_9
0.6150294,s22_10
0.42265937,s25_7
0.44864064,s25_6
0.4949018,s25_4
0.4939062,s25_5
0.4435589,s25_1
0.4439618,s25_2
0.4491014,s25_3
0.45025903,s25_8
0.46073732,s25_9
0.45043457,s25_10
0.47485483,s13_7
0.45151398,s13_6
0.435238,s13_4
0.49050483,s13_5
0.441903,s13_1
0.4267165,s13_2
0.43555015,s13_3
0.42637467,s13_8
0.47032148,s13_9
0.46789283,s13_10
0.36527765,s14_7
0.35905316,s14_6
0.4139299,s14_4
0.36648422,s14_5
0.38995045,s14_1
0.35550055,s14_2
0.3864153,s14_3
0.36033222,s14_8
0.42184323,s14_9
0.37276807,s14_10
0.29449415,s40_7
0.40132403,s40_6
0.33825755,s40_4
0.289431,s40_5
0.41957176,s40_1
0.38001114,s40_2
0.36477065,s40_3
0.40044135,s40_8
0.28204507,s40_9
0.35988808,s40_10
0.47822535,s15_7
0.25248918,s15_6
0.21893525,s15_4
0.43561536,s15_5
0.28014144,s15_1
0.48410493,s15_2
0.32749695,s15_3
0.3597201,s15_8
0.47463086,s15_9
0.47693002,s15_10
0.3169902,s12_7
0.33585858,s12_6
0.3053276,s12_4
0.33020484,s12_5
0.30052257,s12_1
0.29204407,s12_2
0.31971297,s12_3
0.24677292,s12_8
0.31140083,s12_9
0.20408046,s12_10
0.30688697,s24_7
0.30602932,s24_6
0.3602665,s24_4
0.21893167,s24_5
0.3647958,s24_1
0.2537584,s24_2
0.34402552,s24_3
0.14672199,s24_8
0.41727507,s24_9
0.42577043,s24_10
0.3556519,s23_7
0.3123877,s23_6
0.36220038,s23_4
0.3717305,s23_5
0.37058195,s23_1
0.445562,s23_2
0.35166144,s23_3
0.38882795,s23_8
0.4115255,s23_9
0.39417002,s23_10
